"Date","Open","High","Low","Close"
"21 Aug 2017","7544.35","7575","7398.9","7408.70"
"18 Aug 2017","7497.1","7535.35","7447.75","7519.60"
"17 Aug 2017","7518.35","7600.5","7513.95","7551.50"
"16 Aug 2017","7407.75","7497.65","7351.9","7491.60"
"14 Aug 2017","7245.55","7378.5","7245.55","7368.70"
"11 Aug 2017","7029.8","7227.05","6938.5","7166.20"
"10 Aug 2017","7475.05","7483.5","7094.25","7169.00"
"09 Aug 2017","7619.5","7634.15","7484.7","7516.20"
"08 Aug 2017","7813.75","7823.45","7625.3","7652.60"
"07 Aug 2017","7701.4","7796.65","7696.55","7786.00"
"04 Aug 2017","7654.25","7683.6","7620.55","7669.40"
"03 Aug 2017","7748.7","7752.4","7647.95","7663.30"
"02 Aug 2017","7788.25","7821.3","7727.95","7744.20"
"01 Aug 2017","7831.05","7840.35","7762.95","7771.90"
"31 Jul 2017","7813.05","7832.35","7793.15","7800.70"
"28 Jul 2017","7726.75","7815.3","7700.75","7803.30"
"27 Jul 2017","7864.6","7886.8","7742.5","7754.00"
"26 Jul 2017","7819.8","7893.75","7818.15","7840.00"
"25 Jul 2017","7825.55","7834.2","7779.25","7802.60"
"24 Jul 2017","7782.65","7836.5","7777.9","7793.90"
"21 Jul 2017","7748.4","7793","7690.7","7753.50"
"20 Jul 2017","7716.85","7735.6","7694.45","7711.90"
"19 Jul 2017","7613.25","7695.85","7612","7689.50"
"18 Jul 2017","7597.1","7650.9","7572.65","7579.80"
"17 Jul 2017","7597.75","7646.15","7565.05","7625.10"
"14 Jul 2017","7633.6","7638","7532.35","7582.80"
