Date,Open,High,Low,Close,change,lookback_mean,lookback_std
2003-05-07,950.4,956.65,948.9,950.15,-0.0017859956925986714,-0.0005006386557520642,0.015353677500965229
2003-05-08,950.15,951.3,938.7,941.55,-0.009051202441719752,-0.0005108788519029236,0.015347322759483056
2003-05-09,941.6,941.65,935.8,937.85,-0.003929690404120792,-0.0005149683394055765,0.01533858575163382
2003-05-12,938.5,944.45,934.0,936.0,-0.0019725968971584184,-0.0005167098311113745,0.015329492007771487
2003-05-13,936.9,945.8,936.7,944.2,0.00876068376068381,-0.0005056389557035043,0.015323683546195507
2003-05-14,944.2,953.45,943.15,952.15,0.008419826307985524,-0.0004950007372724089,0.015317637523828956
2003-05-15,952.15,961.6,951.15,959.85,0.008086961088063904,-0.00048478411605177045,0.015311369749022398
2003-05-16,959.85,974.4,959.85,973.1,0.01380424024587175,-0.0004677935995691028,0.01531018381947726
2003-05-19,973.7,979.85,964.6,966.55,-0.006731065666426953,-0.0004752321649691715,0.015302601101615734
2003-05-20,964.65,974.05,959.8,971.55,0.005173038125290984,-0.00046853196296411795,0.01529474857140957
2003-05-21,972.05,980.75,965.55,968.0,-0.0036539550203282946,-0.0004723061608993835,0.015286067513770782
2003-05-22,967.95,972.4,960.05,963.25,-0.00490702479338843,-0.00047755434863013983,0.015277770824198839
2003-05-23,963.5,972.9,962.4,967.9,0.004827407215156997,-0.0004712837084838193,0.015269817342609572
2003-05-26,967.85,983.9,967.1,982.45,0.015032544684368291,-0.00045297930660323835,0.015270085084599455
2003-05-27,982.35,990.0,974.25,976.85,-0.005700035625222681,-0.0004591668730167047,0.015262131871151876
2003-05-28,977.65,992.25,977.55,990.8,0.01428059579259859,-0.0004418055506779352,0.015261516512843281
2003-05-29,990.8,1004.85,989.5,1002.6,0.011909568025837777,-0.0004272745229408579,0.015258408348683028
2003-05-30,1000.05,1013.85,994.65,1006.8,0.004189108318372164,-0.00042184986625306355,0.015250251240275525
2003-06-02,1006.85,1020.5,1004.7,1015.1,0.008243941199841148,-0.00041167874997830506,0.015244179650669647
2003-06-03,1015.9,1016.9,1007.65,1010.6,-0.004433060782188946,-0.0004163931486092671,0.01523585308595817
2003-06-04,1010.7,1022.75,1010.1,1021.0,0.010290916287354025,-0.00040385531554607825,0.015231327277681206
2003-06-05,1021.1,1038.3,1021.1,1035.0,0.013712047012732615,-0.0003873454882615418,0.015230059973464627
2003-06-06,1036.2,1048.85,1035.95,1046.4,0.011014492753623276,-0.00037402558377335864,0.015226138910228634
2003-06-09,1046.0,1057.05,1039.85,1052.1,0.005447247706421844,-0.0003672329661651962,0.015218541722486026
