AMC,Scheme Name,Scheme,Scheme Type,Date,Date
,,,,min,max
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund -REGULAR - MONTHLY IDCW,Open Ended Schemes,Debt Scheme - Dynamic Bond,2009-01-01,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund -Regular - IDCW,Open Ended Schemes,Debt Scheme - Dynamic Bond,2014-11-14,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund -Regular - Quarterly IDCW,Open Ended Schemes,Debt Scheme - Dynamic Bond,2009-01-01,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund- Segregated Portfolio 1- Growth - Direct Plan,Open Ended Schemes,Debt Scheme - Dynamic Bond,2019-11-25,2022-09-30
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund- Segregated Portfolio 1- Growth - Regular Plan,Open Ended Schemes,Debt Scheme - Dynamic Bond,2019-11-25,2022-09-30
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund-Discipline Advantage Plan-Growth,Open Ended Schemes,Debt Scheme - Dynamic Bond,2009-04-09,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund-Segregated Portfolio 1- Discipline Advantage Plan- Growth,Open Ended Schemes,Debt Scheme - Dynamic Bond,2019-11-25,2022-09-30
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan -  Series OH (1120 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2017-03-16,2020-04-03
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Corporate Bond Series A (1170 days) - Direct Plan-Dividend,Close Ended Schemes,Income,2014-01-23,2017-04-05
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Fixed Term Plan - Corporate Bond Series A (1170 days) - Direct Plan-Growth,Close Ended Schemes,Income,2014-01-23,2017-04-05
